subject,influence_rate,int_false_prime,int_true_prime,int_amp_effect,awareness,demand,influence_general,intentionality,politics,self_exclusion_1,self_exclusion_1other,unintentionality,trump_prime,obama_prime,std_amp_effect
4793598,0.013888888888888888,0.25,0.3055555555555556,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,a few,a few,somewhat democratic,"Yes, use my data",,a few,0.16666666666666666,0.4722222222222222,0.3055555555555556
14993216,0.2916666666666667,0.5,0.6111111111111112,0.11111111111111116,all,My responses were genuinely based on whether I was influenced or not,about half,a few,somewhat democratic,"Yes, use my data",,less than half,0.5833333333333334,0.6944444444444444,0.11111111111111105
17703893,0.7222222222222222,0.1388888888888889,0.8055555555555556,0.6666666666666667,all,I'm not sure or don't know why I responded the way I did,more than half,about half,very democratic,"No, exclude my data (please specify why):","I guess I'm not 100% sure what you're measuring, but I had a hard time even seeing the Chinese symbol in between the recognizable image and the static. It was hard to judge a character I'd barely even seen, so I'm sure I just voted for cute seals and Obama and against guns and house fires and Trump most of the time.",more than half,0.1111111111111111,0.9166666666666666,0.8055555555555556
23704276,0.2222222222222222,0.4722222222222222,0.8055555555555556,0.33333333333333337,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,less than half,0.5,0.75,0.25
24223154,0.1527777777777778,0.7222222222222222,0.8611111111111112,0.13888888888888895,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,a few,0.8333333333333334,0.9722222222222222,0.13888888888888884
35252637,0,0,0,0,all,My responses were genuinely based on whether I was influenced or not,less than half,less than half,very democratic,"Yes, use my data",,less than half,0.16666666666666666,0.16666666666666666,0
36800426,0.2638888888888889,0.6666666666666666,0.6388888888888888,-0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,less than half,0.5,0.5555555555555556,0.05555555555555558
36971546,0.4305555555555556,0.3888888888888889,0.6944444444444444,0.3055555555555555,all,My responses were genuinely based on whether I was influenced or not,about half,about half,a little democratic,"Yes, use my data",,a few,0.3888888888888889,0.8055555555555556,0.4166666666666667
37441758,0.9583333333333334,0.027777777777777776,0.8333333333333334,0.8055555555555556,all,My responses were genuinely based on whether I was influenced or not,all,most,very democratic,"Yes, use my data",,none,0.027777777777777776,1,0.9722222222222222
45250838,1,0.16666666666666666,0.9722222222222222,0.8055555555555556,less than half,My responses were based on what I thought the researcher wanted me to say,about half,more than half,a little democratic,"Yes, use my data",,more than half,0.08333333333333333,0.8611111111111112,0.7777777777777778
50554708,0.027777777777777776,0.5555555555555556,0.4444444444444444,-0.11111111111111116,all,My responses were genuinely based on whether I was influenced or not,a few,a few,somewhat democratic,"Yes, use my data",,none,0.027777777777777776,1,0.9722222222222222
51723877,0.05555555555555555,0.8888888888888888,0.8888888888888888,0,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,a few,0.6666666666666666,0.5555555555555556,-0.11111111111111105
59088105,0.027777777777777776,0.2777777777777778,0.3611111111111111,0.08333333333333331,a few,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.1388888888888889,0.16666666666666666,0.027777777777777762
62576735,0,0.9166666666666666,0.9722222222222222,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"No, exclude my data (please specify why):","The idea of a symbol being more or less visually appealing is nonsensical. They're symbols meant to convey information and not presented calligraphically, or in a way where the artistic rendering matters. I don't find any letters of the English alphabet more or less visually appealling than any other. I rated almost all of the symbols ""pleasant"" because how could they possibly be unpleasant?",a few,0.8611111111111112,1,0.13888888888888884
62735931,0.041666666666666664,0.6111111111111112,0.5833333333333334,-0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,less than half,0.6111111111111112,0.5277777777777778,-0.08333333333333337
72372970,0.2361111111111111,0.25,0.5555555555555556,0.3055555555555556,all,My responses were genuinely based on whether I was influenced or not,about half,none,very democratic,"Yes, use my data",,about half,0.05555555555555555,1,0.9444444444444444
73899742,1,0.1111111111111111,0.5,0.3888888888888889,all,My responses were genuinely based on whether I was influenced or not,about half,more than half,very democratic,"Yes, use my data",,most,0.027777777777777776,0.9166666666666666,0.8888888888888888
73938476,0.7916666666666666,0.4166666666666667,0.5555555555555556,0.1388888888888889,all,My responses were genuinely based on whether I was influenced or not,most,about half,somewhat democratic,"No, exclude my data (please specify why):",I think I was too influenced by the pictures rather than the symbols,more than half,0.2777777777777778,0.3055555555555556,0.02777777777777779
77268698,0.1111111111111111,0.4722222222222222,0.4722222222222222,0,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,a little democratic,"Yes, use my data",,a few,0.5277777777777778,0.4444444444444444,-0.08333333333333337
84443238,0.06944444444444445,0.4444444444444444,0.6666666666666666,0.2222222222222222,less than half,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,a few,0.5,0.5277777777777778,0.02777777777777779
85446237,0.2361111111111111,0.1388888888888889,0.7222222222222222,0.5833333333333333,none,My responses were genuinely based on whether I was influenced or not,most,less than half,very democratic,"Yes, use my data",,most,NA,NA,NA
98170356,0,0.3888888888888889,0.19444444444444445,-0.19444444444444445,none,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,0.4444444444444444,0.5277777777777778,0.08333333333333337
99792694,0.2638888888888889,0.6388888888888888,0.6666666666666666,0.02777777777777779,all,I'm not sure or don't know why I responded the way I did,about half,none,very democratic,"No, exclude my data (please specify why):","I have no idea if what I was doing was right. Pleasant vs. unpleasantness seemed pretty arbitrary, and all of the symbols look at least somewhat pleasant to me, and although I did not do any of the tasks with any set intention (/I tried to cooperate), my answers seemed almost arbitrary.",about half,0.3888888888888889,0.7777777777777778,0.3888888888888889
