subject,age,gender,AMP_effect_obama_trump,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,demand,influence_general,intentionality,politics,self_exclusion_1,self_exclusion_1other,unintentionality,party,complete_data
4793598,26,female,-0.31,-0.06,-0.04,0.01,7,My responses were genuinely based on whether I was influenced or not,2,2,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
12321716,30,Male,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
14993216,21,Male,-0.11,-0.11,0.03,0.29,7,My responses were genuinely based on whether I was influenced or not,4,2,somewhat democratic,"Yes, use my data",,3,democrat,TRUE
17703893,31,F,-0.81,-0.67,-0.6,0.72,7,I'm not sure or don't know why I responded the way I did,5,4,very democratic,"No, exclude my data (please specify why):","I guess I'm not 100% sure what you're measuring, but I had a hard time even seeing the Chinese symbol in between the recognizable image and the static. It was hard to judge a character I'd barely even seen, so I'm sure I just voted for cute seals and Obama and against guns and house fires and Trump most of the time.",5,democrat,TRUE
23704276,19,female,-0.25,-0.33,-0.02,0.22,7,My responses were genuinely based on whether I was influenced or not,3,1,very democratic,"Yes, use my data",,3,democrat,TRUE
24223154,23,Cis Female,-0.14,-0.14,-0.01,0.15,7,My responses were genuinely based on whether I was influenced or not,3,2,very democratic,"Yes, use my data",,2,democrat,TRUE
35252637,26,Male,0,0,0,0,7,My responses were genuinely based on whether I was influenced or not,3,3,very democratic,"Yes, use my data",,3,democrat,TRUE
36800426,53,female,-0.06,0.03,0.35,0.26,7,My responses were genuinely based on whether I was influenced or not,3,1,very democratic,"Yes, use my data",,3,democrat,TRUE
36971546,28,Male,-0.42,-0.31,0.07,0.43,7,My responses were genuinely based on whether I was influenced or not,4,4,a little democratic,"Yes, use my data",,2,democrat,TRUE
37441758,33,female,-0.97,-0.81,0,0.96,7,My responses were genuinely based on whether I was influenced or not,7,6,very democratic,"Yes, use my data",,1,democrat,TRUE
45250838,23,male,-0.78,-0.81,NA,1,3,My responses were based on what I thought the researcher wanted me to say,4,5,a little democratic,"Yes, use my data",,5,democrat,FALSE
50554708,52,Female,-0.97,0.11,0.14,0.03,7,My responses were genuinely based on whether I was influenced or not,2,2,somewhat democratic,"Yes, use my data",,1,democrat,TRUE
51723877,53,male,0.11,0,0.08,0.06,7,My responses were genuinely based on whether I was influenced or not,2,1,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
59088105,30,female,-0.03,-0.08,-0.06,0.03,2,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
62576735,30,F,-0.14,-0.06,-0.06,0,7,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"No, exclude my data (please specify why):","The idea of a symbol being more or less visually appealing is nonsensical. They're symbols meant to convey information and not presented calligraphically, or in a way where the artistic rendering matters. I don't find any letters of the English alphabet more or less visually appealling than any other. I rated almost all of the symbols ""pleasant"" because how could they possibly be unpleasant?",2,democrat,TRUE
62735931,31,Male,0.08,0.03,0.08,0.04,7,My responses were genuinely based on whether I was influenced or not,2,1,somewhat democratic,"Yes, use my data",,3,democrat,TRUE
72372970,32,male,-0.94,-0.31,-0.11,0.24,7,My responses were genuinely based on whether I was influenced or not,4,1,very democratic,"Yes, use my data",,4,democrat,TRUE
73899742,38,male,-0.89,-0.39,NA,1,7,My responses were genuinely based on whether I was influenced or not,4,5,very democratic,"Yes, use my data",,6,democrat,FALSE
73938476,22,Male,-0.03,-0.14,-0.06,0.79,7,My responses were genuinely based on whether I was influenced or not,6,4,somewhat democratic,"No, exclude my data (please specify why):",I think I was too influenced by the pictures rather than the symbols,5,democrat,TRUE
77268698,35,Male,0.08,0,0.12,0.11,7,My responses were genuinely based on whether I was influenced or not,3,2,a little democratic,"Yes, use my data",,2,democrat,TRUE
84443238,33,male,-0.03,-0.22,-0.17,0.07,3,My responses were genuinely based on whether I was influenced or not,3,2,very democratic,"Yes, use my data",,2,democrat,TRUE
85446237,32,Female,NA,-0.58,-0.47,0.24,1,My responses were genuinely based on whether I was influenced or not,6,3,very democratic,"Yes, use my data",,6,democrat,FALSE
98170356,29,Female,-0.08,0.19,0.19,0,1,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"Yes, use my data",,1,democrat,TRUE
99792694,20,nonbinary,-0.39,-0.03,0.2,0.26,7,I'm not sure or don't know why I responded the way I did,4,1,very democratic,"No, exclude my data (please specify why):","I have no idea if what I was doing was right. Pleasant vs. unpleasantness seemed pretty arbitrary, and all of the symbols look at least somewhat pleasant to me, and although I did not do any of the tasks with any set intention (/I tried to cooperate), my answers seemed almost arbitrary.",4,democrat,TRUE
110689726,34,Female,0.06,-0.44,0,0.58,7,My responses were genuinely based on whether I was influenced or not,5,2,a little democratic,"Yes, use my data",,4,democrat,TRUE
128222221,21,Male,-0.92,-0.81,-0.83,0.42,7,My responses were genuinely based on whether I was influenced or not,5,5,somewhat democratic,"Yes, use my data",,3,democrat,TRUE
131879756,29,female,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
138814248,23,Female,-0.03,-0.08,-0.08,0,7,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"Yes, use my data",,1,democrat,TRUE
