subject,party,prime_type,rating,influenced,self_exclusion_1,complete_data,prime_identity
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,11
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,3
4793598,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
4793598,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,9
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,7
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,3
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,5
4793598,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
4793598,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,7
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,12
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,3
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,8
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,11
4793598,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,6
4793598,democrat,prime_type_B,1,1,"Yes, use my data",TRUE,12
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,6
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,10
4793598,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,9
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,1
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,7
4793598,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,10
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,7
4793598,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,6
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,10
4793598,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,8
4793598,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,12
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,5
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,11
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,4
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,2
4793598,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,5
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,2
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,3
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,11
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,11
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,1
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,3
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,2
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,8
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,9
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,9
4793598,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,8
4793598,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,4
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,10
4793598,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,5
