"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"071618","13:39:57","95361462","387783740","4.0.10.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","0","0","less than half","1","17116","0"
"071618","13:39:57","95361462","387783740","4.0.10.0","1","2","end_of_study_questions_ifirst","influence_general","0","0","0","0","0","0","less than half","1","4577","0"
"071618","13:39:57","95361462","387783740","4.0.10.0","1","3","end_of_study_questions_ifirst","intentionality","0","0","0","0","0","0","all","1","16639","0"
"071618","13:39:57","95361462","387783740","4.0.10.0","1","4","end_of_study_questions_ifirst","unintentionality","0","0","0","0","0","0","most","1","11794","0"
"071618","13:39:57","95361462","387783740","4.0.10.0","1","5","end_of_study_questions_ifirst","self_exclusion_1","0","0","0","0","0","0","Yes, use my data","1","5750","0"
"071618","13:39:57","95361462","387783740","4.0.10.0","1","5","end_of_study_questions_ifirst","self_exclusion_1other","0","0","0","0","0","0","","1","5750","0"
"071618","07:40:10","434342216","608526962","4.0.10.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","0","0","about half","1","22561","0"
"071618","07:40:10","434342216","608526962","4.0.10.0","1","2","end_of_study_questions_ifirst","influence_general","0","0","0","0","0","0","none","1","6731","0"
"071618","07:40:10","434342216","608526962","4.0.10.0","1","3","end_of_study_questions_ifirst","intentionality","0","0","0","0","0","0","all","1","11904","0"
"071618","07:40:10","434342216","608526962","4.0.10.0","1","4","end_of_study_questions_ifirst","unintentionality","0","0","0","0","0","0","none","1","8000","0"
"071618","07:40:10","434342216","608526962","4.0.10.0","1","5","end_of_study_questions_ifirst","self_exclusion_1","0","0","0","0","0","0","Yes, use my data","1","3939","0"
"071618","07:40:10","434342216","608526962","4.0.10.0","1","5","end_of_study_questions_ifirst","self_exclusion_1other","0","0","0","0","0","0","","1","3939","0"
"071618","22:40:25","356979141","187488134","4.0.10.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","0","0","all","1","24753","0"
"071618","22:40:25","356979141","187488134","4.0.10.0","1","2","end_of_study_questions_ifirst","influence_general","0","0","0","0","0","0","more than half","1","34326","0"
"071618","22:40:25","356979141","187488134","4.0.10.0","1","3","end_of_study_questions_ifirst","intentionality","0","0","0","0","0","0","a few","1","10474","0"
"071618","22:40:25","356979141","187488134","4.0.10.0","1","4","end_of_study_questions_ifirst","unintentionality","0","0","0","0","0","0","more than half","1","12785","0"
"071618","22:40:25","356979141","187488134","4.0.10.0","1","5","end_of_study_questions_ifirst","self_exclusion_1","0","0","0","0","0","0","Yes, use my data","1","25665","0"
"071618","22:40:25","356979141","187488134","4.0.10.0","1","5","end_of_study_questions_ifirst","self_exclusion_1other","0","0","0","0","0","0","","1","25665","0"
"071618","05:42:13","218796003","3545965","4.0.10.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","0","0","most","1","15023","0"
"071618","05:42:13","218796003","3545965","4.0.10.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","0","0","most","1","6307","0"
"071618","05:42:13","218796003","3545965","4.0.10.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","0","0","most","1","5319","0"
"071618","05:42:13","218796003","3545965","4.0.10.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","0","0","about half","1","9572","0"
"071618","05:42:13","218796003","3545965","4.0.10.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","0","0","Yes, use my data","1","5471","0"
"071618","05:42:13","218796003","3545965","4.0.10.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","0","0","","1","5471","0"
"071618","08:56:09","761820482","689281609","4.0.10.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","0","0","all","1","24393","0"
"071618","08:56:09","761820482","689281609","4.0.10.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","0","0","none","1","6162","0"
"071618","08:56:09","761820482","689281609","4.0.10.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","0","0","a few","1","6410","0"
"071618","08:56:09","761820482","689281609","4.0.10.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","0","0","none","1","7672","0"
"071618","08:56:09","761820482","689281609","4.0.10.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","0","0","Yes, use my data","1","16331","0"
"071618","08:56:09","761820482","689281609","4.0.10.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","0","0","","1","16331","0"
"071618","16:59:29","91765804","651077529","4.0.10.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","0","0","all","1","27264","0"
"071618","16:59:29","91765804","651077529","4.0.10.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","0","0","a few","1","12808","0"
"071618","16:59:29","91765804","651077529","4.0.10.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","0","0","a few","1","18658","0"
"071618","16:59:29","91765804","651077529","4.0.10.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","0","0","a few","1","7649","0"
"071618","16:59:29","91765804","651077529","4.0.10.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","0","0","Yes, use my data","1","25560","0"
"071618","16:59:29","91765804","651077529","4.0.10.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","0","0","","1","25560","0"
"071618","08:00:37","605451267","142189929","4.0.10.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","0","0","all","1","8949","0"
"071618","08:00:37","605451267","142189929","4.0.10.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","0","0","less than half","1","8431","0"
"071618","08:00:37","605451267","142189929","4.0.10.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","0","0","a few","1","6559","0"
"071618","08:00:37","605451267","142189929","4.0.10.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","0","0","a few","1","5446","0"
"071618","08:00:37","605451267","142189929","4.0.10.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","0","0","Yes, use my data","1","2635","0"
"071618","08:00:37","605451267","142189929","4.0.10.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","0","0","","1","2635","0"
"071618","14:02:55","448512600","745230009","4.0.10.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","0","0","all","1","7034","0"
"071618","14:02:55","448512600","745230009","4.0.10.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","0","0","less than half","1","4046","0"
"071618","14:02:55","448512600","745230009","4.0.10.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","0","0","a few","1","4802","0"
"071618","14:02:55","448512600","745230009","4.0.10.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","0","0","none","1","3385","0"
