std_amp_effect,influence_rate,group
-0.12070657493854209,0,1
0.028292924211066,0.001,1
0.1095441176683056,0.002,1
-0.23291977026293492,0.003,1
0.045112468881105004,0.004,1
0.0533555892157574,0.005,1
-0.054173996013464884,0.006,1
-0.050813185578418706,0.007,1
-0.05204519990932831,0.008,1
-0.08405378290441039,0.009000000000000001,1
-0.042219269975354703,0.01,1
-0.09378864448597041,0.011,1
-0.07102538946379901,0.012,1
0.013595881727626935,0.013000000000000001,1
0.10364940589707713,0.014,1
-0.0027785494390774306,0.015,1
-0.042300950580664215,0.016,1
-0.08176954166298113,0.017,1
-0.07381716802689395,0.018000000000000002,1
0.25203351784893413,0.019,1
0.02440882201520312,0.02,1
-0.037518589669094285,0.021,1
-0.03195478723532271,0.022,1
0.05860894410058537,0.023,1
-0.056172024693747546,0.024,1
-0.1310704910386472,0.025,1
0.07177557209007285,0.026000000000000002,1
-0.0875155722963879,0.027,1
0.013886169963581834,0.028,1
-0.07764486011683937,0.029,1
0.12672975462002628,0.03,1
-0.030509307886905736,0.031,1
-0.05334400375125062,0.032,1
-0.03197580605947614,0.033,1
-0.1442093469078704,0.034,1
-0.09751192620941863,0.035,1
-0.19820396489486738,0.036000000000000004,1
-0.11374931921000284,0.037,1
-0.008529385876371327,0.038,1
-0.025139754040611032,0.039,1
0.1669496265287132,0.04,1
-0.0843142723674581,0.041,1
-0.0624364633737507,0.042,1
-0.004412300195745386,0.043000000000000003,1
-0.0752340076295665,0.044,1
-0.0721014317872049,0.045,1
-0.08543181926417659,0.046,1
-0.09934858856389402,0.047,1
-0.02598281189873557,0.048,1
-0.022734995726669996,0.049,1
-0.15310312568019488,0.05,1
-0.030157592468933278,0.051000000000000004,1
-0.08228896244267815,0.052000000000000005,1
-0.07234620094920094,0.053,1
0.013469047644318076,0.054,1
0.08655558189945174,0.055,1
0.19558174728150615,0.056,1
-0.04598534239436951,0.057,1
0.19249096288572964,0.058,1
-0.08333085476944099,0.059000000000000004,1
0.09865884643328073,0.06,1
0.28844910707178567,0.061,1
0.030623961019616244,0.062,1
-0.03231335796619575,0.063,1
0.03443952442890254,0.064,1
0.21345844481434265,0.065,1
-0.07756077367509087,0.066,1
0.17363271794232626,0.067,1
0.17035647907823603,0.068,1
0.07159727972038174,0.069,1
0.0391892838441958,0.07,1
-0.006496873816142799,0.07100000000000001,1
0.0029476067126066874,0.07200000000000001,1
0.10497865675031479,0.073,1
0.24772708613309435,0.074,1
0.025910158753302992,0.075,1
-0.0972700946701491,0.076,1
-0.03000817771101543,0.077,1
0.06872617621678534,0.078,1
0.011744088503880097,0.079,1
0.02622100423357057,0.08,1
0.027550592314545947,0.081,1
-0.09213018858766939,0.082,1
0.028271282958596683,0.083,1
0.13122322571218842,0.084,1
0.11651087116682532,0.085,1
0.10229973510911013,0.08600000000000001,1
0.00757680245523773,0.08700000000000001,1
0.029240622952152323,0.088,1
-0.07050278796025133,0.089,1
0.04418411812566761,0.09,1
0.07556960009958334,0.091,1
