subject,trump_prime,obama_prime,pol_amp_effect,negative_prime,positive_prime,normed_amp_effect,awareness,demand_pn,demand_to,influence_general_pn,influence_general_to,intentionality_pn,intentionality_to,politics,self_exclusion_1,self_exclusion_1other,unintentionality_pn,unintentionality_to,influence_rate_pol,influence_rate_norm,party,inf_pol_amp_effect,uninf_pol_amp_effect
112147283,0.25,0.2777777777777778,0.02777777777777779,0.6388888888888888,0.3888888888888889,-0.24999999999999994,a few,My responses were genuinely based on whether I was influenced or not,My responses were based on what I thought the researcher wanted me to say,I don't know,a few,none,I don't know,a little republican,"Yes, use my data",,none,less than half,0.05555555555555555,0,0,0,-0.00347222222222221
112920454,0.3888888888888889,0.3888888888888889,0,0.7777777777777778,0.8333333333333334,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,none,none,none,none,very democratic,"Yes, use my data",,none,none,0,0,1,NA,0
11441115,0.1111111111111111,0.7777777777777778,0.6666666666666667,0.027777777777777776,0.7777777777777778,0.75,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,all,more than half,all,more than half,very democratic,"Yes, use my data",,all,more than half,0.375,0.9305555555555556,1,1,0.47619047619047616
115209706,0.5,0.5833333333333334,0.08333333333333337,0.5833333333333334,0.4166666666666667,-0.16666666666666669,all,My responses were genuinely based on whether I was influenced or not,I'm not sure or don't know why I responded the way I did,a few,a few,none,none,a little republican,"Yes, use my data",,none,less than half,0,0.013888888888888888,0,NA,0.08333333333333337
123168415,0.2222222222222222,0.9444444444444444,0.7222222222222222,0,0.9444444444444444,0.9444444444444444,about half,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,about half,more than half,about half,more than half,somewhat democratic,"Yes, use my data",,about half,about half,0.9305555555555556,1,1,0.7553571428571428,0.5
123750149,0.3888888888888889,0.7777777777777778,0.3888888888888889,0.6666666666666666,0.7222222222222222,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,less than half,less than half,none,none,somewhat democratic,"Yes, use my data",,a few,a few,0.041666666666666664,0.1111111111111111,1,0,0.35353535353535354
127422324,0.5833333333333334,0.7222222222222222,0.13888888888888884,0.8611111111111112,0.8333333333333334,-0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,none,none,none,none,somewhat republican,"Yes, use my data",,none,none,0,0,0,NA,0.13888888888888884
135018023,0.027777777777777776,0.9444444444444444,0.9166666666666666,0.3611111111111111,0.9722222222222222,0.6111111111111112,about half,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,all,all,more than half,more than half,somewhat democratic,"Yes, use my data",,most,most,0.8472222222222222,1,1,0.9354838709677419,0.8333333333333334
136188342,0.6666666666666666,0.6388888888888888,-0.02777777777777779,0.75,0.8333333333333334,0.08333333333333337,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,a few,a few,a few,none,somewhat republican,"Yes, use my data",,a few,I don't know,0,0.041666666666666664,0,NA,-0.02777777777777779
146903677,0.027777777777777776,0.9722222222222222,0.9444444444444444,0.1111111111111111,0.75,0.6388888888888888,most,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,about half,more than half,a few,a few,very democratic,"Yes, use my data",,most,most,0.3611111111111111,0,1,0.9230769230769231,0.9565217391304348
1470182,0.7777777777777778,0.6388888888888888,-0.13888888888888895,0.5277777777777778,0.6666666666666666,0.13888888888888884,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,none,none,none,none,a little democratic,"Yes, use my data",,a few,a few,0,0,1,NA,-0.13888888888888895
167200951,1,0,-1,0.08333333333333333,0.7777777777777778,0.6944444444444444,less than half,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,none,none,none,none,a little republican,"Yes, use my data",,all,all,1,1,0,-1,NA
173572528,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.75,0.9444444444444444,0.19444444444444442,all,I'm not sure or don't know why I responded the way I did,I'm not sure or don't know why I responded the way I did,a few,none,none,none,somewhat democratic,"Yes, use my data",,a few,none,0,0.027777777777777776,1,NA,0.16666666666666674
174773181,0.6944444444444444,0.19444444444444445,-0.5,0.4444444444444444,0.7777777777777778,0.33333333333333337,more than half,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,most,all,about half,about half,somewhat republican,"Yes, use my data",,most,most,0.9027777777777778,0.9722222222222222,0,-0.5710227272727273,0.16666666666666669
