subject,party,prime_type,rating,influenced,self_exclusion_1,complete_data,prime_identity
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,5
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,2
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,5
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_B,1,1,"Yes, use my data",TRUE,3
518965,democrat,prime_type_A,0,1,"Yes, use my data",TRUE,5
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,5
518965,democrat,prime_type_A,0,1,"Yes, use my data",TRUE,2
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,2
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,5
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,2
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,5
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_A,1,1,"Yes, use my data",TRUE,4
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,2
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,5
518965,democrat,prime_type_A,0,1,"Yes, use my data",TRUE,5
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_A,0,1,"Yes, use my data",TRUE,1
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,2
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_A,0,1,"Yes, use my data",TRUE,2
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,2
518965,democrat,prime_type_A,0,1,"Yes, use my data",TRUE,5
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,5
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,1
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,6
518965,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,5
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,5
518965,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,4
518965,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,1
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,3
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,5
1470182,democrat,prime_type_A,1,0,"Yes, use my data",TRUE,2
1470182,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,6
1470182,democrat,prime_type_B,0,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_A,0,0,"Yes, use my data",TRUE,4
1470182,democrat,prime_type_B,1,0,"Yes, use my data",TRUE,6
