subject,age,gender,IA_AMP_effect_obama_trump,IA_AMP_effect_obama_trump_influenced,IA_AMP_effect_obama_trump_uninfluenced,influence_rate_obama_trump,IA_AMP_effect_positive_negative,influence_rate_positive_negative,influence_rate_positive_negative_10,influence_rate_positive_negative_10,awareness,demand_pn,demand_to,influence_general_pn,influence_general_to,intentionality_pn,intentionality_to,politics,self_exclusion_1,self_exclusion_1other,unintentionality_pn,unintentionality_to,party,complete_data
19446760,29,Female,-0.08,NA,-0.08,0,0,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little republican,"Yes, use my data",,2,2,republican,TRUE
20886049,33,male,0.06,NA,0.02,0.03,0.08,0.01,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,a little republican,"Yes, use my data",,2,3,republican,TRUE
36711105,42,Male,-0.92,-0.9,-0.92,0.29,0.22,0,0,low,6,My responses were based on what I thought the researcher wanted me to say,My responses were based on what I thought the researcher wanted me to say,6,6,6,6,a little republican,"Yes, use my data",,6,6,republican,TRUE
39398776,30,female,0.53,NA,0.53,0,0.56,0,0,low,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very republican,"Yes, use my data",,1,1,republican,TRUE
48667600,40,female,-0.11,-0.13,0.33,0.93,0.08,1,1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,7,7,somewhat republican,"Yes, use my data",,1,1,republican,TRUE
57742112,31,female,-0.28,-0.5,-0.27,0.04,0.17,0.61,0.6,high,3,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,5,4,5,a little republican,"Yes, use my data",,3,4,republican,TRUE
57801962,24,male,-0.03,NA,-0.03,0,0.14,0.03,0,low,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,2,2,a little republican,"Yes, use my data",,2,2,republican,TRUE
68476092,18,Male,0.61,1,0.51,0.22,0.53,0.89,0.8,high,7,My responses were based on what I thought the researcher wanted me to say,My responses were genuinely based on whether I was influenced or not,4,5,2,4,somewhat republican,"Yes, use my data",,6,6,republican,TRUE
71968352,39,Female,-0.06,NA,-0.06,0,0,0,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
84123013,50,female,0.81,0.75,0.83,0.35,0.83,0.39,0.3,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,5,4,4,very republican,"Yes, use my data",,5,4,republican,TRUE
