subject,trump_prime,obama_prime,pol_amp_effect,negative_prime,positive_prime,normed_amp_effect,awareness,demand_pn,demand_to,influence_general_pn,influence_general_to,intentionality_pn,intentionality_to,politics,self_exclusion_1,self_exclusion_1other,unintentionality_pn,unintentionality_to,influence_rate_pol,influence_rate_norm,party,age,gender
112147283,0.25,0.2777777777777778,0.02777777777777779,0.6388888888888888,0.3888888888888889,-0.24999999999999994,a few,My responses were genuinely based on whether I was influenced or not,My responses were based on what I thought the researcher wanted me to say,I don't know,a few,none,I don't know,a little republican,"Yes, use my data",,none,less than half,0.05555555555555555,0,0,35,male
112920454,0.3888888888888889,0.3888888888888889,0,0.7777777777777778,0.8333333333333334,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,none,none,none,none,very democratic,"Yes, use my data",,none,none,0,0,1,44,male
11441115,0.1111111111111111,0.7777777777777778,0.6666666666666667,0.027777777777777776,0.7777777777777778,0.75,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,all,more than half,all,more than half,very democratic,"Yes, use my data",,all,more than half,0.375,0.9305555555555556,1,26,Male
115209706,0.5,0.5833333333333334,0.08333333333333337,0.5833333333333334,0.4166666666666667,-0.16666666666666669,all,My responses were genuinely based on whether I was influenced or not,I'm not sure or don't know why I responded the way I did,a few,a few,none,none,a little republican,"Yes, use my data",,none,less than half,0,0.013888888888888888,0,29,male
123168415,0.2222222222222222,0.9444444444444444,0.7222222222222222,0,0.9444444444444444,0.9444444444444444,about half,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,about half,more than half,about half,more than half,somewhat democratic,"Yes, use my data",,about half,about half,0.9305555555555556,1,1,22,Female
123750149,0.3888888888888889,0.7777777777777778,0.3888888888888889,0.6666666666666666,0.7222222222222222,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,less than half,less than half,none,none,somewhat democratic,"Yes, use my data",,a few,a few,0.041666666666666664,0.1111111111111111,1,37,female
127422324,0.5833333333333334,0.7222222222222222,0.13888888888888884,0.8611111111111112,0.8333333333333334,-0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,none,none,none,none,somewhat republican,"Yes, use my data",,none,none,0,0,0,34,Female
135018023,0.027777777777777776,0.9444444444444444,0.9166666666666666,0.3611111111111111,0.9722222222222222,0.6111111111111112,about half,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,all,all,more than half,more than half,somewhat democratic,"Yes, use my data",,most,most,0.8472222222222222,1,1,30,male
136188342,0.6666666666666666,0.6388888888888888,-0.02777777777777779,0.75,0.8333333333333334,0.08333333333333337,all,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,a few,a few,a few,none,somewhat republican,"Yes, use my data",,a few,I don't know,0,0.041666666666666664,0,33,female
146903677,0.027777777777777776,0.9722222222222222,0.9444444444444444,0.1111111111111111,0.75,0.6388888888888888,most,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,about half,more than half,a few,a few,very democratic,"Yes, use my data",,most,most,0.3611111111111111,0,1,39,male
