subject,age,gender,AMP_effect_positive_negative,skip_AMP_effect_positive_negative,influence_rate,complete_data
16055,26,female,0.39,0.05,0.82,TRUE
2936616,30,Male,0.06,0.19,0,TRUE
5470440,22,female,0.22,0.07,0.06,TRUE
9263339,20,Male,-0.19,0.06,0.06,TRUE
10547337,53,Female,-0.03,0.23,0.03,TRUE
15394844,50,male,0.94,0.93,0.19,TRUE
15465830,24,Male,0.22,0.03,0.06,TRUE
16141417,31,Female,-0.06,0.04,0.15,TRUE
27740312,18,female,0.86,-0.17,0,TRUE
34920690,22,male,0.61,-0.07,0.19,TRUE
36556014,22,female,0.03,-0.17,0,TRUE
38000492,20,Female,0.03,0.08,0.07,TRUE
43637020,40,female,0.08,-0.02,0.01,TRUE
50131456,23,Female,0.33,0.47,0.22,TRUE
51986624,36,male,0.67,0.69,0,TRUE
54009366,38,Female,0.11,0.08,0,TRUE
57616928,39,female,0.11,-0.09,0.12,TRUE
58028565,37,F,0.61,0.78,0,TRUE
69925725,31,Male,-0.25,-0.03,0,TRUE
74997195,60,male,0.44,0.64,0,TRUE
76141693,55,Male,-0.06,0.03,0,TRUE
76439821,20,Male,-0.19,0.18,0.12,TRUE
84290678,26,M,0,0.03,0.21,TRUE
84627140,37,Male,-0.06,-0.14,0,TRUE
92405220,24,male,0.06,-0.08,0,TRUE
96111852,43,male,-0.03,NA,NA,FALSE
96433901,24,Non-Binary,0.14,-0.14,0.21,TRUE
106268459,22,Male,0.08,0.34,0.04,TRUE
106664762,58,male,-0.83,-0.83,0,TRUE
107151070,27,male,-0.06,0.06,0,TRUE
108218819,34,female,0.28,0.56,0,TRUE
114878067,38,Male,-0.17,-0.03,0,TRUE
114995886,33,Female,-0.08,0.06,0,TRUE
115169881,29,Male,0.06,0.31,0.18,TRUE
115350998,24,Female,0.08,-0.06,0,TRUE
118480252,42,Male,0.89,0.86,0,TRUE
119355666,22,Female,NA,NA,NA,FALSE
119421586,21,Male,0.03,0.3,0.31,TRUE
122057431,32,m,0.81,0.75,0.67,TRUE
124447190,25,non-binary,-0.17,0.17,0,TRUE
126097499,35,f,0.81,0.69,0.17,TRUE
126236003,25,Non-binary,0.19,0.03,0.15,TRUE
134468307,25,female,0.83,0.17,0,TRUE
145682176,23,m,0.75,0.81,0,TRUE
147273130,18,Female,0.97,NA,NA,FALSE
156075734,21,Male,-0.11,0,0.03,TRUE
156613096,20,male,0.67,0.77,0.03,TRUE
156993931,38,Female,NA,NA,NA,FALSE
176942399,27,Female,0.69,0.24,0.19,TRUE
177212343,33,female,-0.17,0.11,0,TRUE
182891850,23,female,0,0,0,TRUE
183553421,35,Male,0,0,0,TRUE
192774234,31,Female,0.33,-0.11,0,TRUE
196690156,49,female,-0.08,-0.01,0.15,TRUE
197205230,24,Male,NA,NA,NA,FALSE
198630490,61,female,0.17,0.17,0,TRUE
199791369,32,male,-0.03,0.03,0,TRUE
201231815,21,,NA,NA,NA,FALSE
203278568,19,female,-0.11,0.09,0.21,TRUE
203317747,31,Male,0.72,0.76,0.06,TRUE
205126093,32,Female,NA,NA,NA,FALSE
210477529,20,male,0.11,0.09,0.17,TRUE
215081082,21,female,0,0.12,0.12,TRUE
220913643,26,female,0.03,-0.05,0.01,TRUE
234099887,20,Male,-0.08,-0.17,0.4,TRUE
234446806,20,Female,0.53,0.14,0.26,TRUE
241721720,35,Male,0.67,0.17,0,TRUE
243979015,34,female,0,-0.21,0.03,TRUE
