"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"071218","17:13:32","692271252","638642545","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ad0422dfb109b0001a30f35","1","4760","0"
"071218","17:13:32","692271252","638642545","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","27","1","3693","0"
"071218","17:13:32","692271252","638642545","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","3700","0"
"071218","13:14:52","144448834","812337667","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","59be1fac3a9ab60001119c1a","1","2414","0"
"071218","13:14:52","144448834","812337667","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","23","1","1441","0"
"071218","13:14:52","144448834","812337667","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","2576","0"
"071218","17:13:59","894680509","914788834","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","595c064a647a040001dd3432","1","19243","0"
"071218","17:13:59","894680509","914788834","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","3346","0"
"071218","17:13:59","894680509","914788834","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","5255","0"
"071318","02:14:15","520348156","394829856","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ab4ad1d0527ba0001c1699c","1","8384","0"
"071318","02:14:15","520348156","394829856","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","43","1","2726","0"
"071318","02:14:15","520348156","394829856","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4168","0"
"071218","09:13:46","465906317","591424609","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0"," 5b152e16444cef0001cb0231","1","28108","0"
"071218","09:13:46","465906317","591424609","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","42","1","4438","0"
"071218","09:13:46","465906317","591424609","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","5731","0"
"071218","12:14:37","43018451","558262323","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b1c9e3e44127b00013fe24d","1","16925","0"
"071218","12:14:37","43018451","558262323","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","24","1","2688","0"
"071218","12:14:37","43018451","558262323","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","2530","0"
"071218","17:13:43","859467744","913685378","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b2b5bed34ffd00001b4d42e","1","73611","0"
"071218","17:13:43","859467744","913685378","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","31","1","3244","0"
"071218","17:13:43","859467744","913685378","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","10302","0"
"071218","17:15:31","382881248","26406307","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a7d92e9527fd00001467fe4","1","3669","0"
"071218","17:15:31","382881248","26406307","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","26","1","5164","0"
"071218","17:15:31","382881248","26406307","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","3329","0"
"071218","10:15:48","414818160","58343219","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","56f55bc0736c79000c223b3d","1","3390","0"
"071218","10:15:48","414818160","58343219","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","30","1","2553","0"
"071218","10:15:48","414818160","58343219","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","2990","0"
"071218","17:16:27","217793317","701662372","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b25214be0ef0b00018577d3","1","17780","0"
"071218","17:16:27","217793317","701662372","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","20","1","3075","0"
