subject,age,gender,AMP_effect_positive_negative,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
5244407,32,male,0.7,0.8,0.8,0.67,most,more than half,none,"Yes, use my data",,about half,TRUE
5951467,28,Male,0.37,0.3,0.02,0.53,all,most,most,"Yes, use my data",,more than half,TRUE
6073319,25,Female,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
6953868,34,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10805941,48,Female,0.03,0,0,0,most,none,none,"No, exclude my data (please specify why):","The images appeared so quickly that it wasn't possible to make any judgement onthe images, especically the painitngs. The black/grey image after the two images were shown was unpleasant and distractig.",none,TRUE
13788805,51,f,0.07,0.07,0.07,0.08,all,a few,none,"Yes, use my data",,less than half,TRUE
14264635,32,male,0.3,0.5,0.26,0.45,most,more than half,more than half,"Yes, use my data",,a few,TRUE
14728127,29,Female,0.13,0.2,0.17,0.02,all,a few,none,"Yes, use my data",,a few,TRUE
14778563,29,female,0.13,0.03,0.05,0.07,most,a few,none,"Yes, use my data",,less than half,TRUE
15397527,28,male,0.53,0.57,0.5,0.77,all,most,about half,"Yes, use my data",,most,TRUE
20982844,57,male,0.63,0.1,0.01,0.13,all,a few,a few,"Yes, use my data",,a few,TRUE
21378310,39,Male,0.57,0.6,0.6,0,all,a few,none,"Yes, use my data",,a few,TRUE
21890092,50,Female,0.2,0.23,0.13,0.12,all,a few,none,"Yes, use my data",,a few,TRUE
22764964,43,female,0.27,0.03,0.01,0.05,less than half,a few,none,"Yes, use my data",,less than half,TRUE
25200793,41,m,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
26976226,19,female,0.33,0.6,0,0.92,all,most,most,"Yes, use my data",,none,TRUE
28516307,51,Male,0.1,0.9,0.5,0.88,all,most,most,"Yes, use my data",,a few,TRUE
28751330,32,Male,0.73,0.8,0.8,0.48,all,more than half,a few,"Yes, use my data",,less than half,TRUE
35152324,50,female,0.13,0.4,0.04,0.63,all,less than half,less than half,"Yes, use my data",,about half,TRUE
35944137,21,male,0.87,0.73,0.17,0.87,all,most,most,"Yes, use my data",,a few,TRUE
39270211,52,male,0.8,0.4,0,0.82,less than half,less than half,a few,"Yes, use my data",,a few,TRUE
41889064,24,Male,0.97,0.93,0.93,0,all,about half,less than half,"Yes, use my data",,a few,TRUE
42944478,30,Male,0.73,0.8,0.89,0.4,all,about half,none,"Yes, use my data",,about half,TRUE
43454799,33,female,0.8,0.4,0.33,0.08,,less than half,a few,"No, exclude my data (please specify why):",Answers made during the first part were mostly influnced by the real life pictures. Answers during the second part I attempted very much to base only on the paintings. The image speed was difficult for me. ,a few,TRUE
44041616,39,female,0.17,0.17,0.17,0,all,none,none,"Yes, use my data",,none,TRUE
46229633,24,Male,0,0.03,0.06,0.1,more than half,a few,a few,"Yes, use my data",,a few,TRUE
50018756,24,female,0.73,0.03,0.05,0.08,more than half,a few,most,"Yes, use my data",,less than half,TRUE
51351075,47,Male,0.23,0.1,0.05,0.05,all,a few,none,"Yes, use my data",,less than half,TRUE
52924881,53,female,0.03,0.63,0.2,0.83,all,most,all,"Yes, use my data",,all,TRUE
53126276,34,f,0.67,0.93,0.95,0.48,most,most,most,"Yes, use my data",,more than half,TRUE
55212494,19,Male,0.03,0.07,0,0.07,all,a few,none,"Yes, use my data",,a few,TRUE
59625716,18,Female,0.1,0.23,0.12,0.28,all,about half,less than half,"Yes, use my data",,a few,TRUE
59674939,22,Female,0,0,0,0,all,none,none,"Yes, use my data",,a few,TRUE
60875287,35,M,0,NA,NA,NA,all,a few,a few,"Yes, use my data",,a few,FALSE
61259196,43,Male,0.47,0.43,0.1,0.48,more than half,about half,less than half,"Yes, use my data",,a few,TRUE
61801502,28,female,0.57,0.73,0.5,0.87,all,all,none,"Yes, use my data",,all,TRUE
62542558,28,Male,0.03,0.17,0.09,0.3,all,less than half,less than half,"Yes, use my data",,less than half,TRUE
63335408,27,Agender,0.83,0.33,0.11,0.25,all,about half,less than half,"Yes, use my data",,more than half,TRUE
65768348,52,male,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
65902677,34,female,0.13,0.2,0.08,0.22,most,less than half,a few,"Yes, use my data",,most,TRUE
67840148,22,Female,0,0,0,0.02,all,none,none,"Yes, use my data",,none,TRUE
68090154,59,Female,0.57,0.37,0.34,0.05,less than half,a few,none,"Yes, use my data",,a few,TRUE
68993172,18 ,Male,0.1,0.1,0,0.1,all,a few,none,"Yes, use my data",,a few,TRUE
76153849,18,Male,0.7,0.73,0.73,0.12,most,about half,a few,"Yes, use my data",,a few,TRUE
78011892,27,male,0,0.13,0.17,0.35,more than half,about half,more than half,"Yes, use my data",,about half,TRUE
79039533,20,male,0.07,0.67,1,0.97,most,most,less than half,"Yes, use my data",,most,TRUE
80083886,51,f,0.83,0.9,0.5,0.93,all,most,most,"Yes, use my data",,a few,TRUE
80364900,50,female,0.1,0.63,0.41,0.3,none,about half,about half,"No, exclude my data (please specify why):",i could see the real life pictures but the paintings were just pixels if this was how they were meant to be then use the data if not dont,a few,TRUE
81381063,42,female,0.8,0.13,0.12,0.55,most,a few,more than half,"Yes, use my data",,about half,TRUE
84530807,39,male,0.03,0.07,NA,0.98,a few,less than half,a few,"Yes, use my data",,a few,TRUE
85949621,27,Male,0.13,NA,NA,NA,all,a few,none,"No, exclude my data (please specify why):","No paintings displayed at any point, there were simply black and white random images.",a few,FALSE
88137704,50,FEMALE,0.63,0.5,NA,0.98,all,most,most,"Yes, use my data",,more than half,TRUE
88827637,63,Male,0.03,0.03,0.03,0.03,most,a few,none,"Yes, use my data",,a few,TRUE
91440333,34,female,0.23,0.2,0.17,0.07,all,a few,none,"Yes, use my data",,about half,TRUE
91454182,26,Male,0.4,0.53,0.25,0.57,all,most,more than half,"Yes, use my data",,less than half,TRUE
93940251,40,Female,0,0,0,0,about half,none,none,"No, exclude my data (please specify why):","My test didn't work properly. I only saw the second picture for a fraction of a second before I got a white and black fuzzy screen, so I was unable to evaluate the second picture. This happened on both parts of the test and as such, my data will not be useful.",none,TRUE
101239836,36,female,0.17,0.23,0.12,0.12,all,less than half,a few,"Yes, use my data",,less than half,TRUE
101590179,55,female,0.87,0.73,0.73,0,a few,none,none,"Yes, use my data",,none,TRUE
101836780,36,Male,0.87,0.17,0.17,0,all,a few,a few,"No, exclude my data (please specify why):","The paintings that were displayed after the pictures looked the same - a pattern of black and white pixels. I think probably the paintings weren't loaded properly, not even once. All the paintings displayed throughout the study was the same black and white pixel pattern.",a few,TRUE
107619858,23,female,0.03,0.13,0.24,0.35,all,less than half,a few,"Yes, use my data",,less than half,TRUE
115650521,31,female,0.1,0.13,0.13,0,all,none,none,"Yes, use my data",,a few,TRUE
118919930,38,Male,0,0.2,0.24,0.42,more than half,about half,less than half,"Yes, use my data",,a few,TRUE
121240443,20,male,0.47,0.17,0.11,0.05,about half,more than half,more than half,"Yes, use my data",,more than half,TRUE
124435026,32,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
133777865,54,male,0.7,0.17,0.03,0.22,less than half,less than half,less than half,"Yes, use my data",,more than half,TRUE
134015798,37,Female,NA,0.3,0.06,0.52,all,more than half,less than half,"Yes, use my data",,less than half,FALSE
134459794,47,female,0.03,0.1,0.1,0,all,none,none,"Yes, use my data",,a few,TRUE
136995162,39,male,0.73,0.03,0.21,0.2,most,less than half,most,"Yes, use my data",,less than half,TRUE
144535166,31,Male,0.13,0.03,0.05,0.02,all,a few,none,"Yes, use my data",,a few,TRUE
145645844,19,female,0.07,0.03,0.12,0.18,all,about half,a few,"Yes, use my data",,most,TRUE
149002102,63,female,0.03,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
150007497,38,female,0,0.17,0.12,0.05,all,a few,none,"Yes, use my data",,less than half,TRUE
151559558,29,Female,0.37,0.47,0.07,0.52,all,more than half,about half,"Yes, use my data",,more than half,TRUE
153154931,34,f,0.73,0.83,0.83,0.02,more than half,a few,none,"Yes, use my data",,less than half,TRUE
156713829,47,Male,0.07,0.17,0.13,0.03,all,a few,none,"Yes, use my data",,a few,TRUE
157903390,32,female,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
161180637,21,female,0.73,0.07,0.02,0.23,all,about half,a few,"Yes, use my data",,more than half,TRUE
168180141,27,Female,0.03,0.03,0.06,0.12,all,a few,none,"Yes, use my data",,less than half,TRUE
169689902,25,Male,0.87,0.7,0.5,0.47,all,most,most,"Yes, use my data",,more than half,TRUE
170237285,45,Male,0.13,0.13,0.09,0.05,all,a few,none,"Yes, use my data",,more than half,TRUE
171053919,41,Female,0,0,0,0,all,none,all,"Yes, use my data",,none,TRUE
172480377,38,Female,0.07,NA,NA,NA,all,a few,none,"No, exclude my data (please specify why):",I don't think the .exe was working properly.,none,FALSE
173195330,32,male ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
173604659,28  ,Female,0.1,0.5,0.28,0.38,all,more than half,a few,"Yes, use my data",,less than half,TRUE
178900360,22,female,0.17,0.47,0.36,0.18,all,less than half,a few,"Yes, use my data",,a few,TRUE
179050802,43,male,0.07,0.1,0.1,0,all,none,none,"Yes, use my data",,none,TRUE
179832241,23,Female,0,0,0,0.2,all,less than half,less than half,"Yes, use my data",,none,TRUE
181865586,18,Male,0.63,0.77,0.77,0.37,all,less than half,more than half,"Yes, use my data",,more than half,TRUE
182270409,39,male,0.03,0,0,0,all,none,none,"No, exclude my data (please specify why):",there were no paintings just black and whte dots,none,TRUE
185143784,26,Female,0.17,0.13,0.13,0,all,none,none,"Yes, use my data",,a few,TRUE
187304078,21,Female,0,0.4,0.23,0.45,all,a few,none,"Yes, use my data",,less than half,TRUE
190080177,35,male,0,0.07,0,0.05,all,a few,a few,"Yes, use my data",,a few,TRUE
193363352,32,Female,0.1,0.1,0.04,0.07,more than half,a few,none,"Yes, use my data",,a few,TRUE
198618418,40,Male,0.33,0.23,0.13,0.13,all,a few,a few,"Yes, use my data",,a few,TRUE
202158371,32,FEMALE,0.83,0.83,1,0.93,about half,about half,about half,"Yes, use my data",,about half,TRUE
202902210,21,Male,0.13,0.23,0,0.27,all,about half,none,"Yes, use my data",,about half,TRUE
203399137,32,m,0.67,0.33,0.21,0.13,all,most,all,"Yes, use my data",,none,TRUE
205571831,54,female,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
206333542,50,Female,0.37,0.1,0.32,0.42,all,more than half,about half,"Yes, use my data",,less than half,TRUE
207341466,23,F,0.03,0.33,0.09,0.48,all,more than half,a few,"No, exclude my data (please specify why):",I was tired and took slightly longer than I would normally have eond so in responding. ,more than half,TRUE
211933365,30,Female,0.3,0.33,0.27,0.52,all,about half,less than half,"Yes, use my data",,about half,TRUE
213984031,21,male,0.47,0.33,0.4,0.63,more than half,more than half,all,"Yes, use my data",,most,TRUE
214091782,20,Male,0.77,0.57,0.58,0.18,about half,about half,about half,"Yes, use my data",,a few,TRUE
221319752,27,Male,0.23,0.1,0.1,0,all,none,none,"Yes, use my data",,a few,TRUE
223125515,27,Male,0.1,0.1,0.05,0.03,all,a few,none,"Yes, use my data",,a few,TRUE
224764451,39,female,0,0,0,0,all,none,none,"No, exclude my data (please specify why):","I find all the paintings completely ugly. I do not understand this experiment. Is the average painting a Van Gogh, or what? This is ugly stripes in ugly colors on an ugly background. All completely below average to me.",none,TRUE
229354629,38,female,0.1,0.03,0.02,0.03,all,a few,none,"Yes, use my data",,a few,TRUE
229366395,24,male,0,0,0,0,most,none,none,"No, exclude my data (please specify why):",I did not see a painting desplayed only the pictures before it and the painting was displayed as black and white blocks.,none,TRUE
229679013,40,female,0.73,0.43,0.06,0.48,all,about half,a few,"Yes, use my data",,less than half,TRUE
235220356,19,male,0.5,0.3,0.02,0.42,most,more than half,about half,"Yes, use my data",,more than half,TRUE
238880482,49,Female,0.87,NA,NA,NA,most,more than half,about half,"Yes, use my data",,about half,FALSE
240483984,18,female,0.7,0.7,NA,1,most,most,most,"Yes, use my data",,most,TRUE
240806961,27,MALE,0.4,0.1,0.2,0.75,about half,about half,less than half,"Yes, use my data",,a few,TRUE
242901184,28,Female,0.77,0.57,1,0.97,most,most,most,"Yes, use my data",,about half,TRUE
244458478,21,female,0.5,0.53,0,0.97,none,more than half,none,"Yes, use my data",,about half,TRUE
244489507,22,female,0,0.2,0.17,0.18,all,a few,a few,"Yes, use my data",,a few,TRUE
246714095,51,Female,0,NA,NA,NA,about half,none,none,"No, exclude my data (please specify why):","I'm not sure my data will be of much use in this study - I basically dislike abstract images/paintings with clashing colours in a modern art format and therefore any pictures like that I saw (I presume those are the pictures referred to rather than the black and white pixellated screen) were just dismissed as unpleasant.  I'm fairly sure I'd have dismissed them all as unpleasant anyway, but being aware that there were other images that may or may not influence my opinion probably absolutely guaranteed that my opinion would NOT be influenced as I have a tendency to resist outside influence like that.",none,FALSE
254304666,38,female ,0.4,0.33,0.05,0.57,all,most,more than half,"Yes, use my data",,most,TRUE
256370170,20,female,0.1,0.23,0.31,0.47,all,about half,less than half,"Yes, use my data",,a few,TRUE
258819137,39,Female,NA,0,0,0.2,all,a few,none,"Yes, use my data",,a few,FALSE
259414919,28,Female,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
263543853,25,Male,0.2,0,0.33,0.32,all,less than half,a few,"Yes, use my data",,a few,TRUE
263862381,40,male,0.1,0.2,0.04,0.32,all,less than half,none,"Yes, use my data",,more than half,TRUE
266416097,40,male,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
