std_amp_effect,influence_rate,group
0.07017692153768934,0,1
0.09705494387161637,0.001,1
-0.012839647975867645,0.002,1
-0.13947051257481557,0.003,1
0.0708553414978896,0.004,1
-0.020561196527006456,0.005,1
0.027240577863943696,0.006,1
0.09654899260537608,0.007,1
0.06880232217002348,0.008,1
-0.20652719076125822,0.009000000000000001,1
-0.2157494405895161,0.01,1
0.1703728249101265,0.011,1
-0.11199788448910458,0.012,1
-0.09918846966421734,0.013000000000000001,1
-0.11179738439381118,0.014,1
-0.05994702043150272,0.015,1
-0.06513844486986964,0.016,1
-0.06746094872267315,0.017,1
-0.097542036080839,0.018000000000000002,1
0.14460374725366346,0.019,1
0.09556876044674699,0.02,1
0.0662421186628151,0.021,1
-0.056866152489993195,0.022,1
-0.04745057219445691,0.023,1
-0.046537495329117606,0.024,1
-0.0035349398512056606,0.025,1
-0.04930671035998002,0.026000000000000002,1
0.1396691160855487,0.027,1
-0.1025445550980295,0.028,1
0.0189072697451169,0.029,1
0.07186757600080622,0.03,1
7.76612985127879e-4,0.031,1
0.24914526015949137,0.032,1
-0.01702810353971015,0.033,1
-0.1436603146615779,0.034,1
-0.080610594820817,0.035,1
0.09919737440332428,0.036000000000000004,1
0.13433534315150827,0.037,1
-0.040440876575686575,0.038,1
-0.15287099523577466,0.039,1
0.13888568392977851,0.04,1
0.005372588189214392,0.041,1
-0.006238602155775524,0.042,1
-0.10143563958318409,0.043000000000000003,1
-0.0017063001740889952,0.044,1
0.04400076133275626,0.045,1
0.1121005225017414,0.046,1
0.022730198233174757,0.047,1
0.030234296575427946,0.048,1
0.13162723421818226,0.049,1
-0.06664587875568449,0.05,1
-0.06931328395081836,0.051000000000000004,1
-0.053474633254692296,0.052000000000000005,1
0.01298125908968492,0.053,1
0.021187925053183246,0.054,1
0.011945321112103686,0.055,1
0.15224406651453473,0.056,1
6.04323543671876e-4,0.057,1
0.043754173651963935,0.058,1
0.03272247484858162,0.059000000000000004,1
-0.003409101029804794,0.06,1
0.06796304650582469,0.061,1
0.0010297393744015013,0.062,1
0.1753849354153502,0.063,1
-0.06757286368876042,0.064,1
0.060050750381349716,0.065,1
0.1056580701766216,0.066,1
-0.05893327565807297,0.067,1
-0.052025452869562144,0.068,1
0.0705062888487336,0.069,1
-0.00996397365650601,0.07,1
-0.07685303983545763,0.07100000000000001,1
0.12901396199370224,0.07200000000000001,1
-0.13561004220022085,0.073,1
-0.03445484713905505,0.074,1
0.023889814757066488,0.075,1
-0.20668935402808636,0.076,1
0.07320100956404088,0.077,1
0.0655219387320841,0.078,1
0.05092880873327445,0.079,1
-0.08335031014842988,0.08,1
0.11214669848048364,0.081,1
0.05672310085200682,0.082,1
0.060703914057070624,0.083,1
0.15938907746028902,0.084,1
-0.017364751236258007,0.085,1
0.1730071897581988,0.08600000000000001,1
-0.029227155608321544,0.08700000000000001,1
0.09207254274086807,0.088,1
0.04693831922519096,0.089,1
-0.008875410956629397,0.09,1
-0.04557448314934779,0.091,1
-0.024509686265136423,0.092,1
-0.09954591327475636,0.093,1
0.026006252917482566,0.094,1
0.04343043512104669,0.095,1
0.20304718260039722,0.096,1
-0.07595020111831485,0.097,1
-0.005488757018638986,0.098,1
-0.09412796555810869,0.099,1
-0.07157399131966995,0.1,1
-0.07708770887949375,0.101,1
-0.02908706469676274,0.10200000000000001,1
0.21740577372193412,0.10300000000000001,1
0.10181261995989761,0.10400000000000001,1
0.08033195339647603,0.105,1
-0.08052334010364853,0.106,1
0.18823179516714153,0.107,1
0.20061850680047086,0.108,1
-0.08402890027491755,0.109,1
0.020592390648802517,0.11,1
0.02500558220354166,0.111,1
-0.21132755389445448,0.112,1
