"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"081519","12:56:08","266619702","728585322","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","","1","2324"
"081519","12:26:20","530017256","905579695","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c8ee1e79d2bff001786","1","38129"
"081519","12:26:20","530017256","905579695","5.0.14.0","1","2","demographics","age","0","0","0","0","25","1","3264"
"081519","12:26:20","530017256","905579695","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","3527"
"081519","12:31:53","1927233","753217927","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c4dbcba620ba700010c3c67","1","4407"
"081519","12:31:53","1927233","753217927","5.0.14.0","1","2","demographics","age","0","0","0","0","34","1","2409"
"081519","12:31:53","1927233","753217927","5.0.14.0","1","3","demographics","gender","0","0","0","0","F","1","3305"
"081519","12:44:20","435132183","265032689","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5a9dd20b4eecca0001dd9f1d","1","12128"
"081519","12:44:20","435132183","265032689","5.0.14.0","1","2","demographics","age","0","0","0","0","37","1","3072"
"081519","12:44:20","435132183","265032689","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","3225"
"081519","12:47:43","692305457","565504645","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d421f6f51bca600015fe3a1","1","5238"
"081519","12:47:43","692305457","565504645","5.0.14.0","1","2","demographics","age","0","0","0","0","33","1","6543"
"081519","12:47:43","692305457","565504645","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","4897"
"081519","12:49:32","231723999","288595434","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5cc1c2618c322e0001912ecd","1","6552"
"081519","12:49:32","231723999","288595434","5.0.14.0","1","2","demographics","age","0","0","0","0","39","1","3687"
"081519","12:49:32","231723999","288595434","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","4276"
"081519","12:50:13","891627550","932832249","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d0a7c5fbf09e10016c3f408","1","16916"
"081519","12:50:13","891627550","932832249","5.0.14.0","1","2","demographics","age","0","0","0","0","23","1","3875"
"081519","12:50:13","891627550","932832249","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","4687"
"081519","23:51:09","711470545","306937639","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d3af079d093e30001904f6c","1","2525"
"081519","23:51:09","711470545","306937639","5.0.14.0","1","2","demographics","age","0","0","0","0","32","1","7857"
"081519","23:51:09","711470545","306937639","5.0.14.0","1","3","demographics","gender","0","0","0","0","None","1","4980"
"081519","12:57:18","141200955","70921114","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c6c4fb581b557000190134a","1","25150"
"081519","12:57:18","141200955","70921114","5.0.14.0","1","2","demographics","age","0","0","0","0","24","1","4109"
"081519","12:57:18","141200955","70921114","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","5643"
"081519","12:57:58","670132345","151750430","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c1d289f2c45d40001473f0d","1","48496"
"081519","12:57:58","670132345","151750430","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","2835"
"081519","12:57:58","670132345","151750430","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","4454"
"081519","13:01:08","968156143","913814467","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d482910f1ed2a001a5a6ae9","1","11196"
"081519","13:01:08","968156143","913814467","5.0.14.0","1","2","demographics","age","0","0","0","0","19","1","7240"
"081519","13:01:08","968156143","913814467","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male ","1","3439"
"081519","20:01:26","977687690","524104369","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5bf96547ab02ea000169bd7f","1","25044"
"081519","20:01:26","977687690","524104369","5.0.14.0","1","2","demographics","age","0","0","0","0","24","1","3310"
"081519","20:01:26","977687690","524104369","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3806"
"081519","13:03:27","945217380","217378735","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","567f59e0d18c640011e7ac0b","1","18803"
"081519","13:03:27","945217380","217378735","5.0.14.0","1","2","demographics","age","0","0","0","0","31","1","3523"
"081519","13:03:27","945217380","217378735","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5267"
"081519","13:03:58","54472606","622389180","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","59eb3f862f63d30001c8ffe5","1","3940"
"081519","13:03:58","54472606","622389180","5.0.14.0","1","2","demographics","age","0","0","0","0","34","1","3848"
"081519","13:03:58","54472606","622389180","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","3964"
"081519","08:07:33","342061117","617409170","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c15b56a45de2c000133c751 ","1","5844"
"081519","08:07:33","342061117","617409170","5.0.14.0","1","2","demographics","age","0","0","0","0","19","1","3629"
"081519","08:07:33","342061117","617409170","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","5253"
"081519","13:05:44","115068759","932787356","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d45f3046f084f00011bd68f        ","1","119399"
"081519","13:05:44","115068759","932787356","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","4364"
"081519","13:05:44","115068759","932787356","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5419"
"081519","13:09:46","357858192","551689228","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5baa9508849a3b0001c5d8b4","1","7583"
"081519","13:09:46","357858192","551689228","5.0.14.0","1","2","demographics","age","0","0","0","0","54","1","3631"
"081519","13:09:46","357858192","551689228","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","11612"
"081519","13:11:34","623076326","35402626","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5a6f40c2d6eacc000176fada","1","20972"
"081519","13:11:34","623076326","35402626","5.0.14.0","1","2","demographics","age","0","0","0","0","29","1","5884"
"081519","13:11:34","623076326","35402626","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","3880"
"081519","13:15:06","731604929","334542577","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c3121af8c6d820001abed8e","1","5450"
"081519","13:15:06","731604929","334542577","5.0.14.0","1","2","demographics","age","0","0","0","0","45","1","2313"
"081519","13:15:06","731604929","334542577","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","4547"
"081519","13:17:02","989563501","240224944","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5cdbe661a991a50018d8949d","1","6631"
"081519","13:17:02","989563501","240224944","5.0.14.0","1","2","demographics","age","0","0","0","0","21 ","1","4079"
"081519","13:17:02","989563501","240224944","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","2626"
"081519","13:17:01","242381356","420200615","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5775a802f8f7ed00014b4c50","1","4744"
"081519","13:17:01","242381356","420200615","5.0.14.0","1","2","demographics","age","0","0","0","0","28","1","4430"
"081519","13:17:01","242381356","420200615","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","4024"
"081519","13:17:08","176457227","81490762","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","595397c49cd0120001df8051","1","11606"
"081519","13:17:08","176457227","81490762","5.0.14.0","1","2","demographics","age","0","0","0","0","23","1","2700"
"081519","13:17:08","176457227","81490762","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5282"
