"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"021719","15:38:08","459813194","206664142","5.0.14.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","none","1","2859"
"021719","15:38:08","459813194","206664142","5.0.14.0","1","2","end_of_study_questions_ifirst","influence_general","0","0","0","0","none","1","3124"
"021719","15:38:08","459813194","206664142","5.0.14.0","1","3","end_of_study_questions_ifirst","intentionality","0","0","0","0","none","1","1927"
"021719","15:38:08","459813194","206664142","5.0.14.0","1","4","end_of_study_questions_ifirst","unintentionality","0","0","0","0","none","1","1714"
"021719","15:38:08","459813194","206664142","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1","0","0","0","0","No, exclude my data (please specify why):","1","3629"
"021719","15:38:08","459813194","206664142","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1other","0","0","0","0","uuhiuhiu","1","3629"
"021719","09:54:56","898254741","886642803","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","all","1","22315"
"021719","09:54:56","898254741","886642803","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","less than half","1","6414"
"021719","09:54:56","898254741","886642803","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","less than half","1","8341"
"021719","09:54:56","898254741","886642803","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","none","1","13716"
"021719","09:54:56","898254741","886642803","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","14638"
"021719","09:54:56","898254741","886642803","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","14638"
"021719","15:04:13","900798257","766228610","5.0.14.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","all","1","15578"
"021719","15:04:13","900798257","766228610","5.0.14.0","1","2","end_of_study_questions_ifirst","influence_general","0","0","0","0","less than half","1","7076"
"021719","15:04:13","900798257","766228610","5.0.14.0","1","3","end_of_study_questions_ifirst","intentionality","0","0","0","0","none","1","14366"
"021719","15:04:13","900798257","766228610","5.0.14.0","1","4","end_of_study_questions_ifirst","unintentionality","0","0","0","0","about half","1","8387"
"021719","15:04:13","900798257","766228610","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","13619"
"021719","15:04:13","900798257","766228610","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1other","0","0","0","0","","1","13619"
"021719","15:10:13","764401742","113460491","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","none","1","21916"
"021719","15:10:13","764401742","113460491","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","none","1","5526"
"021719","15:10:13","764401742","113460491","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","none","1","7794"
"021719","15:10:13","764401742","113460491","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","none","1","5962"
"021719","15:10:13","764401742","113460491","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","14633"
"021719","15:10:13","764401742","113460491","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","14633"
"021719","10:11:56","315635601","275523320","5.0.14.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","all","1","20418"
"021719","10:11:56","315635601","275523320","5.0.14.0","1","2","end_of_study_questions_ifirst","influence_general","0","0","0","0","less than half","1","6496"
"021719","10:11:56","315635601","275523320","5.0.14.0","1","3","end_of_study_questions_ifirst","intentionality","0","0","0","0","less than half","1","5256"
"021719","10:11:56","315635601","275523320","5.0.14.0","1","4","end_of_study_questions_ifirst","unintentionality","0","0","0","0","a few","1","5197"
"021719","10:11:56","315635601","275523320","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","5342"
"021719","10:11:56","315635601","275523320","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1other","0","0","0","0","","1","5342"
"021719","15:11:18","318672776","272486146","5.0.14.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","all","1","24979"
"021719","15:11:18","318672776","272486146","5.0.14.0","1","2","end_of_study_questions_ifirst","influence_general","0","0","0","0","none","1","7514"
"021719","15:11:18","318672776","272486146","5.0.14.0","1","3","end_of_study_questions_ifirst","intentionality","0","0","0","0","none","1","7249"
"021719","15:11:18","318672776","272486146","5.0.14.0","1","4","end_of_study_questions_ifirst","unintentionality","0","0","0","0","a few","1","7244"
"021719","15:11:18","318672776","272486146","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1","0","0","0","0","No, exclude my data (please specify why):","1","72516"
"021719","15:11:18","318672776","272486146","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1other","0","0","0","0","I wasn't fully expecting the images to flash by so quickly, so I voted ""Unpleasant"" for perhaps the first 10 images in the first test without realising.","1","72516"
"021819","03:17:39","670420337","566506627","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","all","1","17811"
"021819","03:17:39","670420337","566506627","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","most","1","4171"
"021819","03:17:39","670420337","566506627","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","all","1","6938"
"021819","03:17:39","670420337","566506627","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","none","1","5977"
"021819","03:17:39","670420337","566506627","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","9268"
"021819","03:17:39","670420337","566506627","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","9268"
"021719","16:18:26","625067684","521153975","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","all","1","37877"
"021719","16:18:26","625067684","521153975","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","none","1","10558"
"021719","16:18:26","625067684","521153975","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","none","1","5221"
"021719","16:18:26","625067684","521153975","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","none","1","3068"
"021719","16:18:26","625067684","521153975","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","No, exclude my data (please specify why):","1","46834"
"021719","16:18:26","625067684","521153975","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","I didn't see any chinese characters after the pictures.  What I saw was a real life image, a painting and then a static image.","1","46834"
"021719","16:20:38","675231756","181883259","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","most","1","20593"
"021719","16:20:38","675231756","181883259","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","less than half","1","8978"
"021719","16:20:38","675231756","181883259","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","a few","1","19130"
"021719","16:20:38","675231756","181883259","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","none","1","10246"
"021719","16:20:38","675231756","181883259","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","6291"
"021719","16:20:38","675231756","181883259","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","6291"
"021719","16:23:04","304765319","798411943","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","none","1","23064"
"021719","16:23:04","304765319","798411943","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","none","1","7803"
"021719","16:23:04","304765319","798411943","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","none","1","9203"
"021719","16:23:04","304765319","798411943","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","none","1","8995"
"021719","16:23:04","304765319","798411943","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","11231"
"021719","16:23:04","304765319","798411943","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","11231"
"021719","16:22:23","515875480","9223988","5.0.14.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","all","1","43468"
"021719","16:22:23","515875480","9223988","5.0.14.0","1","2","end_of_study_questions_ifirst","influence_general","0","0","0","0","none","1","12049"
"021719","16:22:23","515875480","9223988","5.0.14.0","1","3","end_of_study_questions_ifirst","intentionality","0","0","0","0","none","1","11926"
